N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
10,Yes,04013113100,Maricopa County,Arizona,2019,48,58,37,62,67,58,67,2.7,23.5,N/A,23.6,N/A,61,3.1,4.3,94,75.8,85.7,7,83.1,55,70,64.9,72.7,52,67,36,61,15.2,13.6,76,N/A,N/A,63,7.5,7.8,12,3.8,1.7,60,45,57,N/A,N/A,N/A,28,40,17,18,8.9,-8.5,61,N/A,N/A,1,84.3,42.5,2,40.9,54.4,3,18.2,0,63,90.7,92.8
11,Yes,04013113100,Maricopa County,Arizona,2020,42,46,39,63,68,58,68,3,28.1,N/A,39.9,N/A,61,3.1,4.3,89,76,83.8,7,84.1,57.9,77,64.8,75.5,44,48,41,58,6.3,3.3,29,N/A,N/A,57,8.6,5.9,17,3.2,1.6,65,44,63,N/A,N/A,N/A,20,21,19,20,12.5,-3.1,22,N/A,N/A,1,85.1,40.8,2,41,55.1,3,18.6,0,70,91.6,94.3
12,Yes,04013113100,Maricopa County,Arizona,2021,52,60,43,64,69,58,69,2,35.5,N/A,42.6,N/A,61,3.1,4.3,82,76.7,82.8,7,88.7,66.6,82,64.3,77,70,86,53,85,5.5,17.6,87,N/A,N/A,85,1.7,23.6,17,4.3,2,89,46,85,N/A,N/A,N/A,22,24,19,21,14.3,0.2,28,N/A,N/A,1,86.6,45,7,40.3,51.7,N/A,20.5,N/A,50,92.4,92.4
13,Yes,04013113100,Maricopa County,Arizona,2022,51,65,37,58,68,48,68,0.7,34.4,N/A,48.9,N/A,61,3.1,4.3,45,76.2,75.4,8,90.2,70.6,79,64.7,76.7,69,82,56,82,0,8.5,93,N/A,N/A,71,15,24.1,27,4,2.5,85,47,83,N/A,N/A,N/A,26,44,8,38,15.9,11.5,50,N/A,N/A,1,87.2,40.2,4,40.4,53.2,N/A,20.9,N/A,19,92.2,86.7
14,Yes,04013113100,Maricopa County,Arizona,2023,46,58,34,54,69,40,69,-0.6,43.5,N/A,73.7,N/A,61,3.1,4.3,20,75.5,68.4,9,91.4,74.9,71,65,73.2,54,61,48,46,15.6,5.3,79,N/A,N/A,59,-0.9,-3.6,12,3.2,1.2,85,47,83,N/A,N/A,N/A,29,45,13,41,19.1,15.1,49,N/A,N/A,1,87.4,49.4,6,40.3,52.2,N/A,21,N/A,31,91.9,89
15,Yes,04013113100,Maricopa County,Arizona,2024,49,65,33,54,69,40,69,-0.6,43.5,N/A,73.7,N/A,61,3.1,4.3,20,75.5,68.4,9,91.4,74.9,71,65,73.2,62,76,47,90,-4.8,13.1,80,N/A,N/A,59,-0.9,-3.6,9,2.8,1.1,85,47,83,N/A,N/A,N/A,31,49,13,41,19.1,15.1,57,N/A,N/A,1,87.4,49.4,6,40.3,52.2,N/A,21,N/A,31,91.9,89
16,N/A,56015957700,Goshen County,Wyoming,2017,41,47,35,42,52,33,33,1.9,0.9,71,5.9,53.7,19,8.1,2.8,69,81.2,84.1,20,79.8,71.5,23,84.3,74.1,30,42,17,47,0,4,2,N/A,N/A,76,-3.1,77.3,24,4.5,3.4,18,64,47,8,25,14.8,51,46,56,67,2.7,12.2,24,N/A,N/A,47,86,85.4,77,40.1,37,58,24,25.8,43,87.8,86.8
17,N/A,56015957700,Goshen County,Wyoming,2018,37,38,36,42,50,34,33,1.5,1,68,11,48.5,19,8.1,2.8,65,81.5,83,20,79.8,71.5,30,85.3,75.7,21,24,18,47,0,4,6,N/A,N/A,20,5.1,-17.9,24,4.5,3.4,22,61,48,8,25,14.8,48,40,57,69,4.5,16.7,10,N/A,N/A,63,86.3,88.6,76,40.5,37.2,56,24,25.9,34,88,86.5
18,N/A,56015957700,Goshen County,Wyoming,2019,42,50,35,40,50,30,52,1.1,4.8,47,18.7,24.3,19,8.1,2.8,47,81.2,80.9,21,81,73.1,31,86.3,77.9,30,36,23,32,12.6,11.5,65,N/A,N/A,11,3.9,-46.9,24,4.5,3.4,38,57,52,8,25,14.8,58,64,53,54,6,10.8,74,N/A,N/A,66,86.4,88.7,79,40.9,37.4,34,24.2,19.2,34,89.3,87
19,N/A,56015957700,Goshen County,Wyoming,2020,44,52,37,40,47,32,47,-0.7,3.5,47,16.7,22.2,19,8.1,2.8,44,81.5,80.5,23,81.8,74.7,40,85.6,81,43,58,28,35,7.2,6.9,61,N/A,N/A,77,8.5,88.2,36,3.8,3.2,41,56,51,8,25.7,15,52,52,52,52,8,10.7,53,N/A,N/A,67,86.8,89.3,70,40.5,38.7,26,23.2,16.2,44,89.5,88.8
20,N/A,56015957700,Goshen County,Wyoming,2021,44,49,38,46,54,38,44,-3.4,-0.3,64,13.4,47.7,19,8.1,2.8,40,82.1,81.1,37,86.5,83.9,58,85.4,87.6,40,47,33,58,6.3,22.6,61,N/A,N/A,23,-5.9,-31.2,39,6.4,5.3,54,53,55,7,25.2,14.8,46,47,44,53,8.2,12.1,41,N/A,N/A,53,86.6,87.7,46,40.5,41.2,10,26.5,8.5,69,89.8,91.9
21,N/A,56015957700,Goshen County,Wyoming,2022,44,44,44,49,48,50,36,-3.3,-3.3,61,13,45.6,19,8.1,2.8,88,82.1,87.4,24,87.9,82.5,67,84.7,89.2,45,45,45,16,-7.1,-21.1,64,N/A,N/A,54,18.6,27.3,82,6.1,10,44,54,52,9,25.1,15.3,38,40,37,61,9.5,19.1,20,N/A,N/A,54,87.1,87.5,40,40.4,42,24,31.4,15.3,31,89.3,85.9
22,N/A,56015957700,Goshen County,Wyoming,2023,47,49,45,52,52,52,35,-2.5,-2.8,70,27.8,115.7,19,8.1,2.8,88,81.3,87,31,89,85.1,71,84.1,89.8,37,37,37,39,33.3,36.7,9,N/A,N/A,63,0,17.9,59,4.4,4.9,44,54,52,8,25.3,14.7,53,59,47,58,12.7,18.9,60,N/A,N/A,75,86.6,91.2,60,40.8,39.4,19,30.3,13.7,33,89.3,86.9
23,N/A,56015957700,Goshen County,Wyoming,2024,44,43,45,52,52,52,35,-2.5,-2.8,70,27.8,115.7,19,8.1,2.8,88,81.3,87,31,89,85.1,71,84.1,89.8,38,42,35,55,-6.2,2.4,8,N/A,N/A,63,0,17.9,57,4,4.8,44,54,52,5,1.1,0.2,41,35,47,58,12.7,18.9,12,N/A,N/A,75,86.6,91.2,60,40.8,39.4,19,30.3,13.7,33,89.3,86.9
24,N/A,13089021415,DeKalb County,Georgia,2017,62,69,56,55,61,49,55,2.8,5.2,67,-5.3,-0.8,27,2,0.7,23,75.4,70.5,90,76.3,92.3,57,61.7,66,64,59,69,79,6,20.9,39,N/A,N/A,60,8.1,6.4,54,3.5,3.8,99,39,99,55,22.5,23.4,68,86,51,83,2.1,9.1,90,N/A,N/A,71,79.6,86.4,5,42.9,54.2,42,26.4,23.9,87,84.9,92.6
25,N/A,13089021415,DeKalb County,Georgia,2018,62,65,58,50,49,52,36,2.3,-0.5,62,0.2,1,27,2,0.7,30,76.4,73.1,90,76.3,92.3,63,61.3,68.1,67,65,69,79,6,20.9,74,N/A,N/A,42,4.2,-10.9,54,3.5,3.8,99,39,99,55,22.5,23.4,66,80,52,71,5.6,7.4,89,N/A,N/A,68,80.1,86.2,9,43.1,52.1,41,26.4,22.9,92,86.1,94.9
